TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="2.8979e-07", I=51
-1 -2.720557e+01 -2.720628e+01 -1.000000e-04 9.134027e-12 0 4.662937e-13 5.027548e-14 1.318335e+01 
-9.971226e-01 3 3 -1.000000e-04 4.263256e-13 0 2.930989e-13 5.027548e-14 1.318335e+01 
-9.903648e-01 3 3 -1.000000e-04 1.739942e-12 0 -1.898481e-14 5.027548e-14 1.318335e+01 
-9.797745e-01 3 3 -1.000000e-04 -2.478018e-13 0 -1.691980e-13 5.027548e-14 1.318335e+01 
-9.653935e-01 3 3 -1.000000e-04 -2.065015e-12 0 6.111778e-14 5.027548e-14 1.318335e+01 
-9.472774e-01 3 3 -1.000000e-04 1.372236e-13 0 -5.828671e-14 5.027548e-14 1.318335e+01 
-9.254965e-01 3 3 -1.000000e-04 6.128431e-14 0 -4.879430e-14 5.027548e-14 1.318335e+01 
-9.001349e-01 3 3 -1.000000e-04 -3.690381e-13 0 -7.344125e-14 5.027548e-14 1.318335e+01 
-8.712910e-01 3 3 -1.000000e-04 1.425526e-13 0 5.828671e-15 5.027548e-14 1.318335e+01 
-8.390761e-01 3 3 -1.000000e-04 9.459100e-14 0 -5.795364e-14 5.027548e-14 1.318335e+01 
-8.036151e-01 3 3 -1.000000e-04 1.665335e-13 0 3.663736e-15 5.027548e-14 1.318335e+01 
-7.650450e-01 3 3 -1.000000e-04 5.062617e-14 0 1.698641e-14 5.027548e-14 1.318335e+01 
-7.235151e-01 3 3 -1.000000e-04 -2.584599e-13 0 -1.881828e-14 5.027548e-14 1.318335e+01 
-6.791861e-01 3 3 -1.000000e-04 -1.385558e-13 0 5.995204e-15 5.027548e-14 1.318335e+01 
-6.322294e-01 3 3 -1.000000e-04 5.195844e-14 0 6.328271e-15 5.027548e-14 1.318335e+01 
-5.828267e-01 3 3 -1.000000e-04 -2.531308e-14 0 2.914335e-14 5.027548e-14 1.318335e+01 
-5.311692e-01 3 3 -1.000000e-04 -3.317346e-13 0 -3.813616e-14 5.027548e-14 1.318335e+01 
-4.774567e-01 3 3 -1.000000e-04 6.954437e-13 0 -5.112577e-14 5.027548e-14 1.318335e+01 
-4.218971e-01 3 3 -1.000000e-04 4.662937e-14 0 -5.528911e-14 5.027548e-14 1.318335e+01 
-3.647051e-01 3 3 -1.000000e-04 -1.798561e-13 0 3.996803e-14 5.027548e-14 1.318335e+01 
-3.061023e-01 3 3 -1.000000e-04 -1.825207e-13 0 -5.895284e-14 5.027548e-14 1.318335e+01 
-2.463151e-01 3 3 -1.000000e-04 3.463896e-14 0 0 5.027548e-14 1.318335e+01 
-1.855750e-01 3 3 -1.000000e-04 -5.462297e-14 0 8.493206e-15 5.027548e-14 1.318335e+01 
-1.241170e-01 3 3 -1.000000e-04 -4.969358e-13 0 -2.831069e-15 5.027548e-14 1.318335e+01 
-6.217878e-02 3 3 -1.000000e-04 2.930989e-13 0 3.247402e-14 5.027548e-14 1.318335e+01 
0 3 3 -1.000000e-04 8.792966e-14 0 -1.082467e-14 5.027548e-14 1.318335e+01 
6.217878e-02 3 3 -1.000000e-04 2.131628e-13 0 -1.731948e-14 5.027548e-14 1.318335e+01 
1.241170e-01 3 3 -1.000000e-04 2.930989e-14 0 -7.993606e-15 5.027548e-14 1.318335e+01 
1.855750e-01 3 3 -1.000000e-04 -7.460699e-14 0 6.661338e-15 5.027548e-14 1.318335e+01 
2.463151e-01 3 3 -1.000000e-04 4.849454e-13 0 -1.931788e-14 5.027548e-14 1.318335e+01 
3.061023e-01 3 3 -1.000000e-04 -2.930989e-14 0 6.661338e-16 5.027548e-14 1.318335e+01 
3.647051e-01 3 3 -1.000000e-04 -2.238210e-13 0 -4.862777e-14 5.027548e-14 1.318335e+01 
4.218971e-01 3 3 -1.000000e-04 4.689582e-13 0 1.065814e-14 5.027548e-14 1.318335e+01 
4.774567e-01 3 3 -1.000000e-04 4.263256e-14 0 -9.225953e-14 5.027548e-14 1.318335e+01 
5.311692e-01 3 3 -1.000000e-04 -3.357314e-13 0 -1.265654e-14 5.027548e-14 1.318335e+01 
5.828267e-01 3 3 -1.000000e-04 2.504663e-13 0 3.330669e-15 5.027548e-14 1.318335e+01 
6.322294e-01 3 3 -1.000000e-04 5.861978e-14 0 -2.797762e-14 5.027548e-14 1.318335e+01 
6.791861e-01 3 3 -1.000000e-04 3.943512e-13 0 -3.730349e-14 5.027548e-14 1.318335e+01 
7.235151e-01 3 3 -1.000000e-04 -4.050094e-13 0 -3.996803e-15 5.027548e-14 1.318335e+01 
7.650450e-01 3 3 -1.000000e-04 -5.115908e-13 0 -1.865175e-14 5.027548e-14 1.318335e+01 
8.036151e-01 3 3 -1.000000e-04 -5.329071e-13 0 3.463896e-14 5.027548e-14 1.318335e+01 
8.390761e-01 3 3 -1.000000e-04 1.705303e-13 0 -5.861978e-14 5.027548e-14 1.318335e+01 
8.712910e-01 3 3 -1.000000e-04 2.557954e-13 0 -3.463896e-14 5.027548e-14 1.318335e+01 
9.001349e-01 3 3 -1.000000e-04 4.476419e-13 0 -3.996803e-14 5.027548e-14 1.318335e+01 
9.254965e-01 3 3 -1.000000e-04 0 0 -1.598721e-14 5.027548e-14 1.318335e+01 
9.472774e-01 3 3 -1.000000e-04 7.673862e-13 0 -7.460699e-14 5.027548e-14 1.318335e+01 
9.653935e-01 3 3 -1.000000e-04 1.705303e-12 0 -1.492140e-13 5.027548e-14 1.318335e+01 
9.797745e-01 3 3 -1.000000e-04 -1.023182e-12 0 -2.557954e-13 5.027548e-14 1.318335e+01 
9.903648e-01 3 3 -1.000000e-04 -6.821210e-13 0 -1.705303e-13 5.027548e-14 1.318335e+01 
9.971226e-01 3 3 -1.000000e-04 2.728484e-12 0 -3.410605e-13 5.027548e-14 1.318335e+01 
1 -2.720557e+01 -2.720628e+01 -1.000000e-04 0 0 2.728484e-12 5.027548e-14 1.318335e+01 
ZONE T="5.7958e-07", I=51
-1 -1.643189e+03 -1.643199e+03 -8.891563e-05 -5.969611e+01 -6.258577e+01 2.889655e+00 -6.276160e-13 1.289105e+01 
-9.971226e-01 1.069636e+02 1.069648e+02 -8.891563e-05 -1.800423e+00 -1.778631e+00 -2.179220e-02 -6.276160e-13 1.289105e+01 
-9.903648e-01 -2.221714e+01 -2.221739e+01 -8.891563e-05 3.997363e-01 3.948979e-01 4.838381e-03 -6.276160e-13 1.289105e+01 
-9.797745e-01 1.324259e+01 1.324269e+01 -8.891563e-05 -1.578673e-01 -1.559565e-01 -1.910815e-03 -6.276160e-13 1.289105e+01 
-9.653935e-01 -2.320192e+00 -2.320241e+00 -8.891563e-05 8.027424e-02 7.930261e-02 9.716340e-04 -6.276160e-13 1.289105e+01 
-9.472774e-01 6.190911e+00 6.190940e+00 -8.891563e-05 -4.709606e-02 -4.652602e-02 -5.700476e-04 -6.276160e-13 1.289105e+01 
