TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=101
-1 2.245423e-01 2.244479e-01 -9.984107e-05 8.196323e-03 0 3.801033e-02 1.560968e-07 1.179238e+01 
-9.995066e-01 2.550873e-01 2.549998e-01 -9.984095e-05 -1.463059e-03 0 2.196560e-02 1.560968e-07 1.179238e+01 
-9.980267e-01 3.396228e-01 3.395502e-01 -9.983733e-05 2.338747e-03 0 2.242971e-02 1.560968e-07 1.179238e+01 
-9.955620e-01 4.632450e-01 4.631946e-01 -9.983669e-05 -5.792494e-04 0 8.982403e-03 1.560968e-07 1.179238e+01 
-9.921147e-01 6.117722e-01 6.117344e-01 -9.983146e-05 2.197300e-03 0 1.243690e-02 1.560968e-07 1.179238e+01 
-9.876883e-01 7.756374e-01 7.756206e-01 -9.983185e-05 -5.938565e-04 0 -5.624272e-04 1.560968e-07 1.179238e+01 
-9.822873e-01 9.478416e-01 9.478221e-01 -9.982709e-05 1.037161e-03 0 7.771390e-03 1.560968e-07 1.179238e+01 
-9.759168e-01 1.124458e+00 1.124459e+00 -9.982921e-05 -4.030635e-04 0 -4.576100e-03 1.560968e-07 1.179238e+01 
-9.685832e-01 1.301608e+00 1.301595e+00 -9.982519e-05 8.639873e-04 0 7.318525e-03 1.560968e-07 1.179238e+01 
-9.602937e-01 1.477329e+00 1.477339e+00 -9.982862e-05 -6.866095e-04 0 -7.083804e-03 1.560968e-07 1.179238e+01 
-9.510565e-01 1.648756e+00 1.648741e+00 -9.982477e-05 8.951205e-04 0 8.216456e-03 1.560968e-07 1.179238e+01 
-9.408808e-01 1.814636e+00 1.814653e+00 -9.982897e-05 -8.929184e-04 0 -8.678254e-03 1.560968e-07 1.179238e+01 
-9.297765e-01 1.972515e+00 1.972496e+00 -9.982473e-05 9.743604e-04 0 9.267680e-03 1.560968e-07 1.179238e+01 
-9.177546e-01 2.121542e+00 2.121565e+00 -9.982961e-05 -1.010225e-03 0 -9.681541e-03 1.560968e-07 1.179238e+01 
-9.048271e-01 2.259621e+00 2.259594e+00 -9.982461e-05 1.052885e-03 0 9.977037e-03 1.560968e-07 1.179238e+01 
-8.910065e-01 2.386325e+00 2.386356e+00 -9.983041e-05 -1.074076e-03 0 -1.011483e-02 1.560968e-07 1.179238e+01 
-8.763067e-01 2.500051e+00 2.500016e+00 -9.982424e-05 1.075420e-03 0 1.005866e-02 1.560968e-07 1.179238e+01 
-8.607420e-01 2.600932e+00 2.600971e+00 -9.983142e-05 -1.042979e-03 0 -9.784613e-03 1.560968e-07 1.179238e+01 
-8.443279e-01 2.688026e+00 2.687982e+00 -9.982358e-05 9.803513e-04 0 9.284670e-03 1.560968e-07 1.179238e+01 
-8.270806e-01 2.762154e+00 2.762201e+00 -9.983262e-05 -8.969682e-04 0 -8.596719e-03 1.560968e-07 1.179238e+01 
-8.090170e-01 2.823131e+00 2.823080e+00 -9.982279e-05 8.093918e-04 0 7.789406e-03 1.560968e-07 1.179238e+01 
-7.901550e-01 2.872479e+00 2.872532e+00 -9.983380e-05 -7.303314e-04 0 -6.941250e-03 1.560968e-07 1.179238e+01 
-7.705132e-01 2.910690e+00 2.910635e+00 -9.982208e-05 6.673387e-04 0 6.123415e-03 1.560968e-07 1.179238e+01 
-7.501111e-01 2.939809e+00 2.939866e+00 -9.983480e-05 -6.213833e-04 0 -5.380597e-03 1.560968e-07 1.179238e+01 
-7.289686e-01 2.960706e+00 2.960650e+00 -9.982154e-05 5.894931e-04 0 4.737434e-03 1.560968e-07 1.179238e+01 
-7.071068e-01 2.975583e+00 2.975640e+00 -9.983562e-05 -5.668166e-04 0 -4.194136e-03 1.560968e-07 1.179238e+01 
-6.845471e-01 2.985265e+00 2.985208e+00 -9.982110e-05 5.487371e-04 0 3.743473e-03 1.560968e-07 1.179238e+01 
-6.613119e-01 2.991713e+00 2.991770e+00 -9.983635e-05 -5.316052e-04 0 -3.367708e-03 1.560968e-07 1.179238e+01 
-6.374240e-01 2.995368e+00 2.995311e+00 -9.982070e-05 5.132172e-04 0 3.052647e-03 1.560968e-07 1.179238e+01 
-6.129071e-01 2.997731e+00 2.997788e+00 -9.983704e-05 -4.926245e-04 0 -2.781872e-03 1.560968e-07 1.179238e+01 
-5.877853e-01 2.998768e+00 2.998711e+00 -9.982029e-05 4.697915e-04 0 2.545824e-03 1.560968e-07 1.179238e+01 
-5.620834e-01 2.999548e+00 2.999605e+00 -9.983772e-05 -4.451081e-04 0 -2.334192e-03 1.560968e-07 1.179238e+01 
-5.358268e-01 2.999684e+00 2.999627e+00 -9.981988e-05 4.192093e-04 0 2.142704e-03 1.560968e-07 1.179238e+01 
-5.090414e-01 2.999984e+00 3.000041e+00 -9.983837e-05 -3.926864e-04 0 -1.965805e-03 1.560968e-07 1.179238e+01 
-4.817537e-01 2.999879e+00 2.999822e+00 -9.981948e-05 3.659836e-04 0 1.802044e-03 1.560968e-07 1.179238e+01 
-4.539905e-01 3.000066e+00 3.000123e+00 -9.983897e-05 -3.394233e-04 0 -1.648143e-03 1.560968e-07 1.179238e+01 
-4.257793e-01 2.999911e+00 2.999854e+00 -9.981910e-05 3.132188e-04 0 1.503854e-03 1.560968e-07 1.179238e+01 
-3.971479e-01 3.000078e+00 3.000136e+00 -9.983952e-05 -2.875151e-04 0 -1.366976e-03 1.560968e-07 1.179238e+01 
-3.681246e-01 2.999916e+00 2.999858e+00 -9.981875e-05 2.623675e-04 0 1.237575e-03 1.560968e-07 1.179238e+01 
-3.387379e-01 3.000080e+00 3.000137e+00 -9.984001e-05 -2.378278e-04 0 -1.113963e-03 1.560968e-07 1.179238e+01 
-3.090170e-01 2.999916e+00 2.999859e+00 -9.981844e-05 2.138756e-04 0 9.962443e-04 1.560968e-07 1.179238e+01 
-2.789911e-01 3.000080e+00 3.000138e+00 -9.984042e-05 -1.905504e-04 0 -8.831287e-04 1.560968e-07 1.179238e+01 
