TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="1.063e-06", I=21
-8.792948e-01 3.003103e+00 3.003103e+00 -9.233570e-05 6.967035e-04 -1.877718e-04 8.844754e-04 4.687873e-15 1.311682e+01 
-7.960019e-01 2.998049e+00 2.998049e+00 -9.233552e-05 -3.453621e-04 9.476863e-05 -4.401307e-04 4.687873e-15 1.311682e+01 
-6.940510e-01 3.001342e+00 3.001342e+00 -9.233568e-05 1.958406e-04 -5.334648e-05 2.491871e-04 4.687873e-15 1.311682e+01 
-5.758320e-01 2.998993e+00 2.998993e+00 -9.233553e-05 -1.180545e-04 3.238075e-05 -1.504353e-04 4.687873e-15 1.311682e+01 
-4.441158e-01 3.000815e+00 3.000815e+00 -9.233567e-05 7.253775e-05 -1.981413e-05 9.235187e-05 4.687873e-15 1.311682e+01 
-3.019899e-01 2.999295e+00 2.999295e+00 -9.233554e-05 -4.219475e-05 1.157300e-05 -5.376776e-05 4.687873e-15 1.311682e+01 
-1.527855e-01 3.000648e+00 3.000648e+00 -9.233567e-05 1.953137e-05 -5.339777e-06 2.487114e-05 4.687873e-15 1.311682e+01 
0 2.999370e+00 2.999370e+00 -9.233554e-05 -2.930757e-14 -9.991217e-16 -8.825575e-15 4.687873e-15 1.311682e+01 
1.527855e-01 3.000648e+00 3.000648e+00 -9.233567e-05 -1.953137e-05 5.339777e-06 -2.487114e-05 4.687873e-15 1.311682e+01 
3.019899e-01 2.999295e+00 2.999295e+00 -9.233554e-05 4.219475e-05 -1.157300e-05 5.376776e-05 4.687873e-15 1.311682e+01 
4.441158e-01 3.000815e+00 3.000815e+00 -9.233567e-05 -7.253775e-05 1.981413e-05 -9.235187e-05 4.687873e-15 1.311682e+01 
5.758320e-01 2.998993e+00 2.998993e+00 -9.233553e-05 1.180545e-04 -3.238075e-05 1.504353e-04 4.687873e-15 1.311682e+01 
6.940510e-01 3.001342e+00 3.001342e+00 -9.233568e-05 -1.958406e-04 5.334648e-05 -2.491871e-04 4.687873e-15 1.311682e+01 
