TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="4.5162e-09", I=51
-1 2.760524e+00 2.760513e+00 -1.000000e-04 -1.470823e-11 0 4.662937e-13 -2.084628e-14 1.318335e+01 
-9.971226e-01 3.000000e+00 3.000000e+00 -1.000000e-04 -1.041833e-12 0 2.930989e-13 -2.084628e-14 1.318335e+01 
-9.903648e-01 3 3 -1.000000e-04 -7.673862e-13 0 -1.898481e-14 -2.084628e-14 1.318335e+01 
-9.797745e-01 3 3 -1.000000e-04 -4.329870e-13 0 -1.691980e-13 -2.084628e-14 1.318335e+01 
-9.653935e-01 3 3 -1.000000e-04 -3.630429e-13 0 6.111778e-14 -2.084628e-14 1.318335e+01 
-9.472774e-01 3 3 -1.000000e-04 1.751932e-13 0 -5.828671e-14 -2.084628e-14 1.318335e+01 
-9.254965e-01 3 3 -1.000000e-04 3.470557e-13 0 -4.879430e-14 -2.084628e-14 1.318335e+01 
-9.001349e-01 3 3 -1.000000e-04 -6.341594e-13 0 -7.344125e-14 -2.084628e-14 1.318335e+01 
-8.712910e-01 3 3 -1.000000e-04 -1.332268e-14 0 5.828671e-15 -2.084628e-14 1.318335e+01 
-8.390761e-01 3 3 -1.000000e-04 -2.198242e-13 0 -5.795364e-14 -2.084628e-14 1.318335e+01 
-8.036151e-01 3 3 -1.000000e-04 -1.045830e-13 0 3.663736e-15 -2.084628e-14 1.318335e+01 
-7.650450e-01 3 3 -1.000000e-04 1.592060e-13 0 1.698641e-14 -2.084628e-14 1.318335e+01 
-7.235151e-01 3 3 -1.000000e-04 6.061818e-14 0 -1.881828e-14 -2.084628e-14 1.318335e+01 
-6.791861e-01 3 3 -1.000000e-04 4.996004e-14 0 5.995204e-15 -2.084628e-14 1.318335e+01 
-6.322294e-01 3 3 -1.000000e-04 3.457234e-13 0 6.328271e-15 -2.084628e-14 1.318335e+01 
-5.828267e-01 3 3 -1.000000e-04 -2.031708e-13 0 2.914335e-14 -2.084628e-14 1.318335e+01 
-5.311692e-01 3 3 -1.000000e-04 9.658940e-14 0 -3.813616e-14 -2.084628e-14 1.318335e+01 
-4.774567e-01 3 3 -1.000000e-04 8.260059e-14 0 -5.112577e-14 -2.084628e-14 1.318335e+01 
-4.218971e-01 3 3 -1.000000e-04 -2.438050e-13 0 -5.528911e-14 -2.084628e-14 1.318335e+01 
-3.647051e-01 3 3 -1.000000e-04 1.572076e-13 0 3.996803e-14 -2.084628e-14 1.318335e+01 
-3.061023e-01 3 3 -1.000000e-04 4.729550e-14 0 -5.895284e-14 -2.084628e-14 1.318335e+01 
-2.463151e-01 3 3 -1.000000e-04 1.385558e-13 0 0 -2.084628e-14 1.318335e+01 
-1.855750e-01 3 3 -1.000000e-04 0 0 8.493206e-15 -2.084628e-14 1.318335e+01 
-1.241170e-01 3 3 -1.000000e-04 -1.085798e-13 0 -2.831069e-15 -2.084628e-14 1.318335e+01 
-6.217878e-02 3 3 -1.000000e-04 -1.398881e-14 0 3.247402e-14 -2.084628e-14 1.318335e+01 
0 3 3 -1.000000e-04 -1.332268e-14 0 -1.082467e-14 -2.084628e-14 1.318335e+01 
6.217878e-02 3 3 -1.000000e-04 2.531308e-14 0 -1.731948e-14 -2.084628e-14 1.318335e+01 
1.241170e-01 3 3 -1.000000e-04 -6.661338e-14 0 -7.993606e-15 -2.084628e-14 1.318335e+01 
1.855750e-01 3 3 -1.000000e-04 -9.592327e-14 0 6.661338e-15 -2.084628e-14 1.318335e+01 
2.463151e-01 3 3 -1.000000e-04 1.159073e-13 0 -1.931788e-14 -2.084628e-14 1.318335e+01 
3.061023e-01 3 3 -1.000000e-04 -6.661338e-14 0 6.661338e-16 -2.084628e-14 1.318335e+01 
3.647051e-01 3 3 -1.000000e-04 1.705303e-13 0 -4.862777e-14 -2.084628e-14 1.318335e+01 
4.218971e-01 3 3 -1.000000e-04 -1.332268e-13 0 1.065814e-14 -2.084628e-14 1.318335e+01 
4.774567e-01 3 3 -1.000000e-04 5.755396e-13 0 -9.225953e-14 -2.084628e-14 1.318335e+01 
5.311692e-01 3 3 -1.000000e-04 -5.595524e-14 0 -1.265654e-14 -2.084628e-14 1.318335e+01 
5.828267e-01 3 3 -1.000000e-04 6.661338e-14 0 3.330669e-15 -2.084628e-14 1.318335e+01 
6.322294e-01 3 3 -1.000000e-04 1.492140e-13 0 -2.797762e-14 -2.084628e-14 1.318335e+01 
6.791861e-01 3 3 -1.000000e-04 -4.583001e-13 0 -3.730349e-14 -2.084628e-14 1.318335e+01 
7.235151e-01 3 3 -1.000000e-04 3.144152e-13 0 -3.996803e-15 -2.084628e-14 1.318335e+01 
7.650450e-01 3 3 -1.000000e-04 1.012523e-13 0 -1.865175e-14 -2.084628e-14 1.318335e+01 
8.036151e-01 3 3 -1.000000e-04 5.329071e-14 0 3.463896e-14 -2.084628e-14 1.318335e+01 
8.390761e-01 3 3 -1.000000e-04 0 0 -5.861978e-14 -2.084628e-14 1.318335e+01 
8.712910e-01 3 3 -1.000000e-04 2.984279e-13 0 -3.463896e-14 -2.084628e-14 1.318335e+01 
