TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="5.7958e-10", I=51
-1 2.968207e+00 2.968206e+00 -1.000000e-04 -1.492140e-13 0 4.662937e-13 -1.996801e-16 1.318335e+01 
-9.971226e-01 3 3 -1.000000e-04 2.797762e-14 0 2.930989e-13 -1.996801e-16 1.318335e+01 
-9.903648e-01 3 3 -1.000000e-04 6.008527e-13 0 -1.898481e-14 -1.996801e-16 1.318335e+01 
-9.797745e-01 3 3 -1.000000e-04 5.742073e-13 0 -1.691980e-13 -1.996801e-16 1.318335e+01 
-9.653935e-01 3 3 -1.000000e-04 3.490541e-13 0 6.111778e-14 -1.996801e-16 1.318335e+01 
-9.472774e-01 3 3 -1.000000e-04 2.551293e-13 0 -5.828671e-14 -1.996801e-16 1.318335e+01 
-9.254965e-01 3 3 -1.000000e-04 4.476419e-13 0 -4.879430e-14 -1.996801e-16 1.318335e+01 
-9.001349e-01 3 3 -1.000000e-04 -3.630429e-13 0 -7.344125e-14 -1.996801e-16 1.318335e+01 
-8.712910e-01 3 3 -1.000000e-04 8.659740e-15 0 5.828671e-15 -1.996801e-16 1.318335e+01 
-8.390761e-01 3 3 -1.000000e-04 4.929390e-14 0 -5.795364e-14 -1.996801e-16 1.318335e+01 
-8.036151e-01 3 3 -1.000000e-04 1.298961e-13 0 3.663736e-15 -1.996801e-16 1.318335e+01 
-7.650450e-01 3 3 -1.000000e-04 2.531308e-14 0 1.698641e-14 -1.996801e-16 1.318335e+01 
-7.235151e-01 3 3 -1.000000e-04 3.697043e-13 0 -1.881828e-14 -1.996801e-16 1.318335e+01 
-6.791861e-01 3 3 -1.000000e-04 4.396483e-14 0 5.995204e-15 -1.996801e-16 1.318335e+01 
-6.322294e-01 3 3 -1.000000e-04 -8.859580e-14 0 6.328271e-15 -1.996801e-16 1.318335e+01 
-5.828267e-01 3 3 -1.000000e-04 1.185718e-13 0 2.914335e-14 -1.996801e-16 1.318335e+01 
-5.311692e-01 3 3 -1.000000e-04 2.597922e-14 0 -3.813616e-14 -1.996801e-16 1.318335e+01 
-4.774567e-01 3 3 -1.000000e-04 -3.084200e-13 0 -5.112577e-14 -1.996801e-16 1.318335e+01 
-4.218971e-01 3 3 -1.000000e-04 1.052491e-13 0 -5.528911e-14 -1.996801e-16 1.318335e+01 
-3.647051e-01 3 3 -1.000000e-04 -1.032507e-13 0 3.996803e-14 -1.996801e-16 1.318335e+01 
-3.061023e-01 3 3 -1.000000e-04 3.064216e-14 0 -5.895284e-14 -1.996801e-16 1.318335e+01 
-2.463151e-01 3 3 -1.000000e-04 2.464695e-14 0 0 -1.996801e-16 1.318335e+01 
-1.855750e-01 3 3 -1.000000e-04 -2.065015e-14 0 8.493206e-15 -1.996801e-16 1.318335e+01 
-1.241170e-01 3 3 -1.000000e-04 1.398881e-14 0 -2.831069e-15 -1.996801e-16 1.318335e+01 
-6.217878e-02 3 3 -1.000000e-04 1.798561e-14 0 3.247402e-14 -1.996801e-16 1.318335e+01 
0 3 3 -1.000000e-04 -2.131628e-14 0 -1.082467e-14 -1.996801e-16 1.318335e+01 
6.217878e-02 3 3 -1.000000e-04 1.225686e-13 0 -1.731948e-14 -1.996801e-16 1.318335e+01 
1.241170e-01 3 3 -1.000000e-04 -1.718625e-13 0 -7.993606e-15 -1.996801e-16 1.318335e+01 
1.855750e-01 3 3 -1.000000e-04 -1.305622e-13 0 6.661338e-15 -1.996801e-16 1.318335e+01 
2.463151e-01 3 3 -1.000000e-04 -3.330669e-14 0 -1.931788e-14 -1.996801e-16 1.318335e+01 
3.061023e-01 3 3 -1.000000e-04 -1.332268e-13 0 6.661338e-16 -1.996801e-16 1.318335e+01 
3.647051e-01 3 3 -1.000000e-04 -2.131628e-14 0 -4.862777e-14 -1.996801e-16 1.318335e+01 
4.218971e-01 3 3 -1.000000e-04 -8.659740e-14 0 1.065814e-14 -1.996801e-16 1.318335e+01 
4.774567e-01 3 3 -1.000000e-04 -7.727152e-14 0 -9.225953e-14 -1.996801e-16 1.318335e+01 
5.311692e-01 3 3 -1.000000e-04 2.104983e-13 0 -1.265654e-14 -1.996801e-16 1.318335e+01 
5.828267e-01 3 3 -1.000000e-04 1.598721e-14 0 3.330669e-15 -1.996801e-16 1.318335e+01 
6.322294e-01 3 3 -1.000000e-04 -1.412204e-13 0 -2.797762e-14 -1.996801e-16 1.318335e+01 
6.791861e-01 3 3 -1.000000e-04 -5.062617e-14 0 -3.730349e-14 -1.996801e-16 1.318335e+01 
7.235151e-01 3 3 -1.000000e-04 1.225686e-13 0 -3.996803e-15 -1.996801e-16 1.318335e+01 
7.650450e-01 3 3 -1.000000e-04 5.861978e-14 0 -1.865175e-14 -1.996801e-16 1.318335e+01 
8.036151e-01 3 3 -1.000000e-04 9.592327e-14 0 3.463896e-14 -1.996801e-16 1.318335e+01 
