TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=101
-1 3 3 1.981346e+07 -4.574495e+28 0 4.550226e+20 -1.213250e+25 2633002406888637 
-9.995066e-01 3 3 1.977428e+07 -1.906767e+27 0 6189044801984747520 -1.213250e+25 2633002406888637 
-9.980267e-01 3 3 1.978514e+07 -1.661355e+26 0 -1433964711965076992 -1.213250e+25 2633002406888637 
-9.955620e-01 3 3 1.973309e+07 -4.722334e+25 0 1072496349713551360 -1.213250e+25 2633002406888637 
-9.921147e-01 3 3 1.972811e+07 -1.851663e+25 0 -555056339932086272 -1.213250e+25 2633002406888637 
-9.876883e-01 3 3 1.965860e+07 -8.739367e+24 0 504449626046995072 -1.213250e+25 2633002406888637 
-9.822873e-01 3 3 1.963491e+07 -4.678491e+24 0 -312018751134138880 -1.213250e+25 2633002406888637 
-9.759168e-01 3 3 1.954773e+07 -2.735877e+24 0 300140528979502272 -1.213250e+25 2633002406888637 
-9.685832e-01 3 3 1.950539e+07 -1.709352e+24 0 -202582581646550656 -1.213250e+25 2633002406888637 
-9.602937e-01 3 3 1.940067e+07 -1.123532e+24 0 200238170300440800 -1.213250e+25 2633002406888637 
-9.510565e-01 3 3 1.933992e+07 -7.688922e+23 0 -142394257042636784 -1.213250e+25 2633002406888637 
-9.408808e-01 3 3 1.921793e+07 -5.436205e+23 0 142926817955489104 -1.213250e+25 2633002406888637 
-9.297765e-01 3 3 1.913913e+07 -3.948528e+23 0 -105210150882457488 -1.213250e+25 2633002406888637 
-9.177546e-01 3 3 1.900022e+07 -2.933269e+23 0 106600911712650400 -1.213250e+25 2633002406888637 
-9.048271e-01 3 3 1.890377e+07 -2.221116e+23 0 -80396842191029136 -1.213250e+25 2633002406888637 
-8.910065e-01 3 3 1.874839e+07 -1.709544e+23 0 81942511807014464 -1.213250e+25 2633002406888637 
-8.763067e-01 3 3 1.863477e+07 -1.334490e+23 0 -62900612197239768 -1.213250e+25 2633002406888637 
-8.607420e-01 3 3 1.846344e+07 -1.054527e+23 0 64343910769815696 -1.213250e+25 2633002406888637 
-8.443279e-01 3 3 1.833319e+07 -8.422424e+22 0 -50042175416397248 -1.213250e+25 2633002406888637 
-8.270806e-01 3 3 1.814648e+07 -6.789948e+22 0 51294130618387312 -1.213250e+25 2633002406888637 
-8.090170e-01 3 3 1.800021e+07 -5.518901e+22 0 -40282368243055168 -1.213250e+25 2633002406888637 
-7.901550e-01 3 3 1.779878e+07 -4.518056e+22 0 41321310433053080 -1.213250e+25 2633002406888637 
-7.705132e-01 3 3 1.763714e+07 -3.722038e+22 0 -32680727567774236 -1.213250e+25 2633002406888637 
-7.501111e-01 3 3 1.742170e+07 -3.083080e+22 0 33512189782011108 -1.213250e+25 2633002406888637 
-7.289686e-01 3 3 1.724541e+07 -2.565962e+22 0 -26633752147796156 -1.213250e+25 2633002406888637 
-7.071068e-01 3 3 1.701674e+07 -2.144246e+22 0 27273623510777696 -1.213250e+25 2633002406888637 
-6.845471e-01 3 3 1.682657e+07 -1.797978e+22 0 -21738405486039588 -1.213250e+25 2633002406888637 
-6.613119e-01 3 3 1.658548e+07 -1.511834e+22 0 22205647382805136 -1.213250e+25 2633002406888637 
-6.374240e-01 3 3 1.638227e+07 -1.274018e+22 0 -17716456899945130 -1.213250e+25 2633002406888637 
-6.129071e-01 3 3 1.612964e+07 -1.075295e+22 0 18029965448464060 -1.213250e+25 2633002406888637 
-5.877853e-01 3 3 1.591426e+07 -9.084360e+21 0 -14370385247217216 -1.213250e+25 2633002406888637 
-5.620834e-01 3 3 1.565102e+07 -7.676836e+21 0 14547714244835412 -1.213250e+25 2633002406888637 
-5.358268e-01 3 3 1.542438e+07 -6.484685e+21 0 -11556572716174696 -1.213250e+25 2633002406888637 
-5.090414e-01 3 3 1.515150e+07 -5.470959e+21 0 11613504068195576 -1.213250e+25 2633002406888637 
-4.817537e-01 3 3 1.491457e+07 -4.605982e+21 0 -9168414219427648 -1.213250e+25 2633002406888637 
-4.539905e-01 3 3 1.463305e+07 -3.865434e+21 0 9118910728574074 -1.213250e+25 2633002406888637 
-4.257793e-01 3 3 1.438685e+07 -3.229576e+21 0 -7125340329035022 -1.213250e+25 2633002406888637 
-3.971479e-01 3 3 1.409773e+07 -2.682040e+21 0 6981662491200272 -1.213250e+25 2633002406888637 
-3.681246e-01 3 3 1.384328e+07 -2.209419e+21 0 -5365488533276654 -1.213250e+25 2633002406888637 
-3.387379e-01 3 3 1.354764e+07 -1.800478e+21 0 5138372022840998 -1.213250e+25 2633002406888637 
-3.090170e-01 3 3 1.328602e+07 -1.445936e+21 0 -3840693007628609 -1.213250e+25 2633002406888637 
-2.789911e-01 3 3 1.298496e+07 -1.137946e+21 0 3.539539e+15 -1.213250e+25 2633002406888637 
-2.486899e-01 3 3 1.271727e+07 -8.699760e+20 0 -2.512987e+15 -1.213250e+25 2633002406888637 
-2.181432e-01 3 3 1.241191e+07 -6.364600e+20 0 2.146041e+15 -1.213250e+25 2633002406888637 
-1.873813e-01 3 3 1.213926e+07 -4.327272e+20 0 -1352114118238311 -1.213250e+25 2633002406888637 
