TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=51
-1 2.241920e-01 2.241747e-01 -1.801415e-05 1.808712e-03 -8.253065e-03 1.006178e-02 5.858344e-11 1.182378e+01 
-9.971226e-01 3.898225e-01 3.898128e-01 -1.801347e-05 -2.081089e-04 -5.580231e-04 3.499142e-04 5.858344e-11 1.182378e+01 
-9.903648e-01 6.746609e-01 6.746520e-01 -1.801288e-05 6.702740e-04 -3.904687e-03 4.574961e-03 5.858344e-11 1.182378e+01 
-9.797745e-01 1.025872e+00 1.025878e+00 -1.801229e-05 -5.046448e-04 3.384239e-03 -3.888884e-03 5.858344e-11 1.182378e+01 
-9.653935e-01 1.366741e+00 1.366729e+00 -1.801240e-05 1.815636e-04 -4.357309e-03 4.538873e-03 5.858344e-11 1.182378e+01 
-9.472774e-01 1.718573e+00 1.718584e+00 -1.801424e-05 -6.285758e-04 4.468214e-03 -5.096790e-03 5.858344e-11 1.182378e+01 
-9.254965e-01 2.023213e+00 2.023196e+00 -1.801557e-05 1.050189e-03 -5.185817e-03 6.236006e-03 5.858344e-11 1.182378e+01 
-9.001349e-01 2.310296e+00 2.310327e+00 -1.802055e-05 -6.288102e-04 5.630025e-03 -6.258835e-03 5.858344e-11 1.182378e+01 
-8.712910e-01 2.530211e+00 2.530167e+00 -1.800779e-05 -4.549038e-05 -5.007762e-03 4.962271e-03 5.858344e-11 1.182378e+01 
-8.390761e-01 2.717307e+00 2.717357e+00 -1.803080e-05 4.273427e-04 3.680747e-03 -3.253404e-03 5.858344e-11 1.182378e+01 
-8.036151e-01 2.834439e+00 2.834389e+00 -1.800208e-05 -5.379408e-04 -2.390754e-03 1.852813e-03 5.858344e-11 1.182378e+01 
-7.650450e-01 2.923930e+00 2.923978e+00 -1.803492e-05 4.801592e-04 1.377775e-03 -8.976160e-04 5.858344e-11 1.182378e+01 
-7.235151e-01 2.960922e+00 2.960878e+00 -1.800049e-05 -4.008114e-04 -7.609250e-04 3.601136e-04 5.858344e-11 1.182378e+01 
-6.791861e-01 2.991158e+00 2.991198e+00 -1.803647e-05 3.294092e-04 3.778392e-04 -4.843006e-05 5.858344e-11 1.182378e+01 
