TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=11
-1 3.611506e-01 3.611389e-01 -3.045541e-05 -4.100133e-03 -3.964013e-03 -1.361203e-04 -2.017627e-11 1.199510e+01 
-9.340014e-01 2.393582e+00 2.393612e+00 -3.056408e-05 2.885370e-03 1.791635e-03 1.093735e-03 -2.017627e-11 1.199510e+01 
-7.844835e-01 2.600932e+00 2.600917e+00 -3.023677e-05 -3.142993e-04 1.680765e-05 -3.311070e-04 -2.017627e-11 1.199510e+01 
-5.652353e-01 3.187412e+00 3.187420e+00 -3.045305e-05 1.203278e-04 -1.143342e-04 2.346619e-04 -2.017627e-11 1.199510e+01 
-2.957581e-01 2.847807e+00 2.847801e+00 -3.025418e-05 -1.796410e-05 5.531542e-05 -7.327952e-05 -2.017627e-11 1.199510e+01 
0 3.140946e+00 3.140950e+00 -3.043791e-05 -8.433330e-12 2.569683e-12 -1.101421e-11 -2.017627e-11 1.199510e+01 
2.957581e-01 2.847807e+00 2.847801e+00 -3.025418e-05 1.796409e-05 -5.531542e-05 7.327951e-05 -2.017627e-11 1.199510e+01 
5.652353e-01 3.187412e+00 3.187420e+00 -3.045305e-05 -1.203278e-04 1.143342e-04 -2.346619e-04 -2.017627e-11 1.199510e+01 
7.844835e-01 2.600932e+00 2.600917e+00 -3.023677e-05 3.142993e-04 -1.680765e-05 3.311070e-04 -2.017627e-11 1.199510e+01 
9.340014e-01 2.393582e+00 2.393612e+00 -3.056408e-05 -2.885370e-03 -1.791635e-03 -1.093735e-03 -2.017627e-11 1.199510e+01 
1 3.611506e-01 3.611389e-01 -3.045541e-05 4.100133e-03 3.964013e-03 1.361203e-04 -2.017627e-11 1.199510e+01 
ZONE T="0.002", I=11
-1 2.942768e-01 2.942761e-01 -8.945634e-06 -1.759486e-04 -6.659383e-04 4.899896e-04 -9.302457e-10 1.142502e+01 
-9.340014e-01 2.120011e+00 2.120045e+00 -8.984224e-06 1.994189e-03 1.873904e-03 1.202847e-04 -9.302457e-10 1.142502e+01 
-7.844835e-01 2.335603e+00 2.335580e+00 -8.470995e-06 -4.889795e-04 -3.609277e-04 -1.280518e-04 -9.302457e-10 1.142502e+01 
-5.652353e-01 3.232200e+00 3.232213e+00 -8.821834e-06 1.094158e-04 -1.134750e-04 2.228908e-04 -9.302457e-10 1.142502e+01 
-2.957581e-01 2.781930e+00 2.781922e+00 -8.507290e-06 -3.177378e-06 6.171897e-05 -6.489635e-05 -9.302457e-10 1.142502e+01 
0 3.204674e+00 3.204681e+00 -8.789042e-06 -5.197819e-10 2.170645e-10 -7.368578e-10 -9.302457e-10 1.142502e+01 
2.957581e-01 2.781930e+00 2.781922e+00 -8.507276e-06 3.176202e-06 -6.171934e-05 6.489554e-05 -9.302457e-10 1.142502e+01 
5.652353e-01 3.232200e+00 3.232213e+00 -8.821809e-06 -1.094168e-04 1.134754e-04 -2.228922e-04 -9.302457e-10 1.142502e+01 
7.844835e-01 2.335603e+00 2.335580e+00 -8.470959e-06 4.889789e-04 3.609284e-04 1.280505e-04 -9.302457e-10 1.142502e+01 
9.340014e-01 2.120011e+00 2.120045e+00 -8.984182e-06 -1.994189e-03 -1.873906e-03 -1.202831e-04 -9.302457e-10 1.142502e+01 
1 2.942768e-01 2.942761e-01 -8.945590e-06 1.759414e-04 6.659326e-04 -4.899912e-04 -9.302457e-10 1.142502e+01 
ZONE T="0.003", I=11
-1 2.575389e-01 2.575414e-01 -5.575286e-07 9.323995e-04 2.875807e-04 6.448189e-04 -1.408447e-09 1.099203e+01 
-9.340014e-01 1.958566e+00 1.958596e+00 -5.056795e-07 1.243547e-03 1.593235e-03 -3.496882e-04 -1.408447e-09 1.099203e+01 
-7.844835e-01 2.154411e+00 2.154384e+00 7.841676e-08 -6.412866e-04 -6.453473e-04 4.060730e-06 -1.408447e-09 1.099203e+01 
-5.652353e-01 3.219099e+00 3.219114e+00 -3.768886e-07 1.384798e-04 -6.956694e-05 2.080467e-04 -1.408447e-09 1.099203e+01 
-2.957581e-01 2.746580e+00 2.746570e+00 2.084074e-08 -5.154029e-06 5.460389e-05 -5.975791e-05 -1.408447e-09 1.099203e+01 
0 3.237535e+00 3.237544e+00 -3.245210e-07 -8.903637e-10 1.930308e-10 -1.083377e-09 -1.408447e-09 1.099203e+01 
2.957581e-01 2.746580e+00 2.746570e+00 2.085951e-08 5.152757e-06 -5.460431e-05 5.975706e-05 -1.408447e-09 1.099203e+01 
5.652353e-01 3.219099e+00 3.219114e+00 -3.768523e-07 -1.384818e-04 6.956759e-05 -2.080494e-04 -1.408447e-09 1.099203e+01 
7.844835e-01 2.154411e+00 2.154384e+00 7.846790e-08 6.412866e-04 6.453479e-04 -4.061318e-06 -1.408447e-09 1.099203e+01 
9.340014e-01 1.958566e+00 1.958596e+00 -5.056197e-07 -1.243550e-03 -1.593237e-03 3.496866e-04 -1.408447e-09 1.099203e+01 
1 2.575389e-01 2.575414e-01 -5.574649e-07 -9.323975e-04 -2.875785e-04 -6.448190e-04 -1.408447e-09 1.099203e+01 
ZONE T="0.004", I=11
-1 2.351516e-01 2.351546e-01 2.301776e-06 1.098059e-03 4.778035e-04 6.202551e-04 2.542169e-10 1.062953e+01 
-9.340014e-01 1.846658e+00 1.846683e+00 2.430258e-06 7.159093e-04 1.306254e-03 -5.903447e-04 2.542169e-10 1.062953e+01 
-7.844835e-01 2.023063e+00 2.023034e+00 3.013990e-06 -7.298682e-04 -8.318123e-04 1.019442e-04 2.542169e-10 1.062953e+01 
-5.652353e-01 3.182608e+00 3.182626e+00 2.469719e-06 1.786349e-04 -7.111308e-06 1.857462e-04 2.542169e-10 1.062953e+01 
-2.957581e-01 2.721391e+00 2.721379e+00 2.939621e-06 -1.501667e-05 3.968190e-05 -5.469857e-05 2.542169e-10 1.062953e+01 
0 3.256293e+00 3.256304e+00 2.542680e-06 1.261495e-10 3.197600e-10 -1.935744e-10 2.542169e-10 1.062953e+01 
2.957581e-01 2.721391e+00 2.721379e+00 2.939624e-06 1.501604e-05 -3.968222e-05 5.469826e-05 2.542169e-10 1.062953e+01 
5.652353e-01 3.182608e+00 3.182626e+00 2.469722e-06 -1.786343e-04 7.111008e-06 -1.857453e-04 2.542169e-10 1.062953e+01 
7.844835e-01 2.023063e+00 2.023034e+00 3.013995e-06 7.298674e-04 8.318137e-04 -1.019463e-04 2.542169e-10 1.062953e+01 
9.340014e-01 1.846658e+00 1.846683e+00 2.430263e-06 -7.159033e-04 -1.306254e-03 5.903505e-04 2.542169e-10 1.062953e+01 
1 2.351516e-01 2.351546e-01 2.301781e-06 -1.098073e-03 -4.778154e-04 -6.202578e-04 2.542169e-10 1.062953e+01 
ZONE T="0.005", I=11
-1 2.205573e-01 2.205599e-01 2.889483e-06 9.540827e-04 4.194331e-04 5.346496e-04 -4.444276e-11 1.031014e+01 
-9.340014e-01 1.760190e+00 1.760208e+00 3.074623e-06 3.518644e-04 1.072607e-03 -7.207426e-04 -4.444276e-11 1.031014e+01 
-7.844835e-01 1.923663e+00 1.923634e+00 3.615628e-06 -7.674555e-04 -9.487420e-04 1.812864e-04 -4.444276e-11 1.031014e+01 
-5.652353e-01 3.136391e+00 3.136410e+00 2.993660e-06 2.166278e-04 6.140587e-05 1.552219e-04 -4.444276e-11 1.031014e+01 
-2.957581e-01 2.699958e+00 2.699944e+00 3.532362e-06 -2.837949e-05 1.995289e-05 -4.833237e-05 -4.444276e-11 1.031014e+01 
0 3.266282e+00 3.266294e+00 3.086866e-06 -1.694710e-10 3.504314e-10 -5.198761e-10 -4.444276e-11 1.031014e+01 
2.957581e-01 2.699958e+00 2.699944e+00 3.532369e-06 2.837891e-05 -1.995324e-05 4.833215e-05 -4.444276e-11 1.031014e+01 
5.652353e-01 3.136391e+00 3.136410e+00 2.993669e-06 -2.166279e-04 -6.140612e-05 -1.552218e-04 -4.444276e-11 1.031014e+01 
7.844835e-01 1.923663e+00 1.923634e+00 3.615642e-06 7.674552e-04 9.487432e-04 -1.812880e-04 -4.444276e-11 1.031014e+01 
9.340014e-01 1.760190e+00 1.760208e+00 3.074639e-06 -3.518609e-04 -1.072607e-03 7.207459e-04 -4.444276e-11 1.031014e+01 
1 2.205573e-01 2.205599e-01 2.889499e-06 -9.540889e-04 -4.194382e-04 -5.346507e-04 -4.444276e-11 1.031014e+01 
ZONE T="0.006", I=11
-1 2.106563e-01 2.106583e-01 2.594831e-06 7.259768e-04 2.912989e-04 4.346779e-04 6.420743e-11 1.002023e+01 
-9.340014e-01 1.688653e+00 1.688665e+00 2.817866e-06 9.648393e-05 8.903671e-04 -7.938831e-04 6.420743e-11 1.002023e+01 
-7.844835e-01 1.845867e+00 1.845838e+00 3.291064e-06 -7.691713e-04 -1.018190e-03 2.490183e-04 6.420743e-11 1.002023e+01 
-5.652353e-01 3.086440e+00 3.086461e+00 2.601451e-06 2.479437e-04 1.301824e-04 1.177613e-04 6.420743e-11 1.002023e+01 
-2.957581e-01 2.680192e+00 2.680177e+00 3.207611e-06 -4.304221e-05 -2.762251e-06 -4.027996e-05 6.420743e-11 1.002023e+01 
0 3.269531e+00 3.269543e+00 2.713206e-06 -1.176366e-10 2.341768e-10 -3.517691e-10 6.420743e-11 1.002023e+01 
2.957581e-01 2.680192e+00 2.680177e+00 3.207614e-06 4.304213e-05 2.762045e-06 4.028008e-05 6.420743e-11 1.002023e+01 
5.652353e-01 3.086440e+00 3.086461e+00 2.601454e-06 -2.479439e-04 -1.301827e-04 -1.177612e-04 6.420743e-11 1.002023e+01 
7.844835e-01 1.845867e+00 1.845838e+00 3.291069e-06 7.691713e-04 1.018190e-03 -2.490190e-04 6.420743e-11 1.002023e+01 
9.340014e-01 1.688653e+00 1.688665e+00 2.817871e-06 -9.648246e-05 -8.903666e-04 7.938841e-04 6.420743e-11 1.002023e+01 
1 2.106563e-01 2.106583e-01 2.594836e-06 -7.259762e-04 -2.912987e-04 -4.346776e-04 6.420743e-11 1.002023e+01 
ZONE T="0.007", I=11
-1 2.037648e-01 2.037662e-01 2.017501e-06 4.963202e-04 1.577371e-04 3.385831e-04 -7.986635e-11 9.751971e+00 
-9.340014e-01 1.626723e+00 1.626729e+00 2.262565e-06 -8.701485e-05 7.477532e-04 -8.347680e-04 -7.986635e-11 9.751971e+00 
-7.844835e-01 1.783139e+00 1.783111e+00 2.653616e-06 -7.465467e-04 -1.054825e-03 3.082779e-04 -7.986635e-11 9.751971e+00 
-5.652353e-01 3.035666e+00 3.035689e+00 1.906124e-06 2.717274e-04 1.964287e-04 7.529870e-05 -7.986635e-11 9.751971e+00 
-2.957581e-01 2.661347e+00 2.661331e+00 2.578361e-06 -5.783181e-05 -2.722676e-05 -3.060505e-05 -7.986635e-11 9.751971e+00 
0 3.267148e+00 3.267162e+00 2.033672e-06 -1.910361e-10 2.544675e-10 -4.455132e-10 -7.986635e-11 9.751971e+00 
2.957581e-01 2.661347e+00 2.661331e+00 2.578366e-06 5.783159e-05 2.722652e-05 3.060507e-05 -7.986635e-11 9.751971e+00 
5.652353e-01 3.035666e+00 3.035689e+00 1.906130e-06 -2.717279e-04 -1.964290e-04 -7.529889e-05 -7.986635e-11 9.751971e+00 
