TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=51
-1 2.276381e-01 2.276098e-01 -2.962005e-05 2.788942e-03 -9.921402e-03 1.271034e-02 1.114717e-10 1.184738e+01 
-9.971226e-01 3.926552e-01 3.926385e-01 -2.961891e-05 -3.368476e-04 -2.717868e-03 2.381020e-03 1.114717e-10 1.184738e+01 
-9.903648e-01 6.789581e-01 6.789434e-01 -2.961768e-05 1.060863e-03 -3.628369e-03 4.689232e-03 1.114717e-10 1.184738e+01 
-9.797745e-01 1.032639e+00 1.032646e+00 -2.961697e-05 -4.938575e-04 2.006359e-03 -2.500217e-03 1.114717e-10 1.184738e+01 
-9.653935e-01 1.377116e+00 1.377101e+00 -2.961675e-05 6.215414e-04 -2.792500e-03 3.414041e-03 1.114717e-10 1.184738e+01 
-9.472774e-01 1.731766e+00 1.731783e+00 -2.961890e-05 -6.192354e-04 2.714008e-03 -3.333243e-03 1.114717e-10 1.184738e+01 
-9.254965e-01 2.038731e+00 2.038709e+00 -2.961696e-05 7.143914e-04 -2.740979e-03 3.455370e-03 1.114717e-10 1.184738e+01 
-9.001349e-01 2.326376e+00 2.326405e+00 -2.962356e-05 -5.586335e-04 2.580392e-03 -3.139026e-03 1.114717e-10 1.184738e+01 
-8.712910e-01 2.545656e+00 2.545622e+00 -2.961282e-05 2.775056e-04 -2.185417e-03 2.462922e-03 1.114717e-10 1.184738e+01 
-8.390761e-01 2.730400e+00 2.730437e+00 -2.962930e-05 -9.200277e-05 1.602520e-03 -1.694523e-03 1.114717e-10 1.184738e+01 
-8.036151e-01 2.844545e+00 2.844509e+00 -2.960894e-05 -1.132718e-05 -1.096408e-03 1.085080e-03 1.114717e-10 1.184738e+01 
-7.650450e-01 2.930555e+00 2.930590e+00 -2.963253e-05 2.852486e-05 6.790627e-04 -6.505379e-04 1.114717e-10 1.184738e+01 
-7.235151e-01 2.964801e+00 2.964767e+00 -2.960681e-05 -3.357980e-05 -4.299975e-04 3.964177e-04 1.114717e-10 1.184738e+01 
-6.791861e-01 2.992910e+00 2.992942e+00 -2.963452e-05 3.194708e-05 2.615218e-04 -2.295747e-04 1.114717e-10 1.184738e+01 
-6.322294e-01 2.992832e+00 2.992801e+00 -2.960516e-05 -4.342385e-05 -1.784372e-04 1.350134e-04 1.114717e-10 1.184738e+01 
-5.828267e-01 3.003035e+00 3.003064e+00 -2.963621e-05 5.210670e-05 1.167662e-04 -6.465953e-05 1.114717e-10 1.184738e+01 
-5.311692e-01 2.996087e+00 2.996058e+00 -2.960372e-05 -6.312903e-05 -8.700045e-05 2.387142e-05 1.114717e-10 1.184738e+01 
-4.774567e-01 3.003673e+00 3.003700e+00 -2.963760e-05 6.604888e-05 5.792536e-05 8.123523e-06 1.114717e-10 1.184738e+01 
-4.218971e-01 2.996331e+00 2.996305e+00 -2.960258e-05 -6.774514e-05 -4.405476e-05 -2.369037e-05 1.114717e-10 1.184738e+01 
-3.647051e-01 3.003618e+00 3.003644e+00 -2.963863e-05 6.291356e-05 2.817640e-05 3.473716e-05 1.114717e-10 1.184738e+01 
-3.061023e-01 2.996399e+00 2.996374e+00 -2.960177e-05 -5.730584e-05 -2.132921e-05 -3.597663e-05 1.114717e-10 1.184738e+01 
-2.463151e-01 3.003570e+00 3.003595e+00 -2.963932e-05 4.756940e-05 1.267919e-05 3.489021e-05 1.114717e-10 1.184738e+01 
-1.855750e-01 2.996439e+00 2.996414e+00 -2.960125e-05 -3.755779e-05 -9.277466e-06 -2.828032e-05 1.114717e-10 1.184738e+01 
-1.241170e-01 3.003543e+00 3.003567e+00 -2.963972e-05 2.531203e-05 4.703668e-06 2.060836e-05 1.114717e-10 1.184738e+01 
-6.217878e-02 2.996457e+00 2.996433e+00 -2.960100e-05 -1.300864e-05 -2.553256e-06 -1.045539e-05 1.114717e-10 1.184738e+01 
0 3.003534e+00 3.003558e+00 -2.963985e-05 5.736191e-10 -1.285343e-10 7.019725e-10 1.114717e-10 1.184738e+01 
6.217878e-02 2.996457e+00 2.996433e+00 -2.960100e-05 1.300736e-05 2.553612e-06 1.045375e-05 1.114717e-10 1.184738e+01 
1.241170e-01 3.003543e+00 3.003567e+00 -2.963972e-05 -2.531079e-05 -4.703946e-06 -2.060684e-05 1.114717e-10 1.184738e+01 
1.855750e-01 2.996439e+00 2.996414e+00 -2.960125e-05 3.755748e-05 9.277410e-06 2.828007e-05 1.114717e-10 1.184738e+01 
