TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="2.6634e-09", I=201
-1 -5.467475e+00 -5.469089e+00 -1.000000e-04 -1.578247e-10 0 -1.578247e-10 -7.324874e-14 1.318335e+01 
-9.998766e-01 1.486353e+00 1.486065e+00 -1.000000e-04 -9.339409e-12 0 -9.339409e-12 -7.324874e-14 1.318335e+01 
-9.995066e-01 3.560095e+00 3.560202e+00 -1.000000e-04 1.147602e-11 0 1.147602e-11 -7.324874e-14 1.318335e+01 
-9.988899e-01 2.691922e+00 2.691864e+00 -1.000000e-04 2.732400e-11 0 2.732400e-11 -7.324874e-14 1.318335e+01 
-9.980267e-01 3.200282e+00 3.200320e+00 -1.000000e-04 -8.874999e-12 0 -8.874999e-12 -7.324874e-14 1.318335e+01 
-9.969173e-01 2.857143e+00 2.857115e+00 -1.000000e-04 -4.688265e-12 0 -4.688265e-12 -7.324874e-14 1.318335e+01 
-9.955620e-01 3.108096e+00 3.108117e+00 -1.000000e-04 -5.886880e-12 0 -5.886880e-12 -7.324874e-14 1.318335e+01 
-9.939610e-01 2.914793e+00 2.914777e+00 -1.000000e-04 -1.104533e-11 0 -1.104533e-11 -7.324874e-14 1.318335e+01 
-9.921147e-01 3.069208e+00 3.069221e+00 -1.000000e-04 1.742146e-11 0 1.742146e-11 -7.324874e-14 1.318335e+01 
-9.900237e-01 2.942486e+00 2.942475e+00 -1.000000e-04 7.628234e-12 0 7.628234e-12 -7.324874e-14 1.318335e+01 
-9.876883e-01 3.048666e+00 3.048676e+00 -1.000000e-04 -2.458595e-12 0 -2.458595e-12 -7.324874e-14 1.318335e+01 
-9.851093e-01 2.958216e+00 2.958208e+00 -1.000000e-04 -1.518893e-11 0 -1.518893e-11 -7.324874e-14 1.318335e+01 
-9.822873e-01 3.036307e+00 3.036314e+00 -1.000000e-04 1.847243e-11 0 1.847243e-11 -7.324874e-14 1.318335e+01 
-9.792228e-01 2.968134e+00 2.968127e+00 -1.000000e-04 -5.615751e-12 0 -5.615751e-12 -7.324874e-14 1.318335e+01 
-9.759168e-01 3.028208e+00 3.028213e+00 -1.000000e-04 -7.007538e-12 0 -7.007538e-12 -7.324874e-14 1.318335e+01 
-9.723699e-01 2.974848e+00 2.974843e+00 -1.000000e-04 1.188686e-11 0 1.188686e-11 -7.324874e-14 1.318335e+01 
-9.685832e-01 3.022570e+00 3.022574e+00 -1.000000e-04 -6.855804e-12 0 -6.855804e-12 -7.324874e-14 1.318335e+01 
-9.645574e-01 2.979636e+00 2.979632e+00 -1.000000e-04 -2.239214e-12 0 -2.239214e-12 -7.324874e-14 1.318335e+01 
-9.602937e-01 3.018463e+00 3.018467e+00 -1.000000e-04 1.144027e-12 0 1.144027e-12 -7.324874e-14 1.318335e+01 
-9.557930e-01 2.983188e+00 2.983185e+00 -1.000000e-04 1.321796e-12 0 1.321796e-12 -7.324874e-14 1.318335e+01 
-9.510565e-01 3.015366e+00 3.015369e+00 -1.000000e-04 -5.282795e-12 0 -5.282795e-12 -7.324874e-14 1.318335e+01 
