TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=101
-1 2.315738e-01 2.314811e-01 -9.980073e-05 4.703687e-03 0 2.788836e-02 1.082788e-10 1.184036e+01 
-9.995066e-01 2.617395e-01 2.616526e-01 -9.979990e-05 -1.702137e-04 0 2.062581e-02 1.082788e-10 1.184036e+01 
-9.980267e-01 3.457337e-01 3.456602e-01 -9.979694e-05 1.757335e-03 0 1.762209e-02 1.082788e-10 1.184036e+01 
-9.955620e-01 4.695188e-01 4.694638e-01 -9.979367e-05 2.195218e-04 0 1.054145e-02 1.082788e-10 1.184036e+01 
-9.921147e-01 6.193439e-01 6.193024e-01 -9.978909e-05 1.481700e-03 0 8.210769e-03 1.082788e-10 1.184036e+01 
-9.876883e-01 7.854291e-01 7.854037e-01 -9.978581e-05 1.464902e-04 0 3.675399e-03 1.082788e-10 1.184036e+01 
-9.822873e-01 9.606214e-01 9.606011e-01 -9.978192e-05 1.074511e-03 0 3.543646e-03 1.082788e-10 1.184036e+01 
-9.759168e-01 1.140543e+00 1.140535e+00 -9.978009e-05 -5.497992e-05 0 7.764116e-04 1.082788e-10 1.184036e+01 
-9.685832e-01 1.321226e+00 1.321215e+00 -9.977755e-05 7.828322e-04 0 1.744982e-03 1.082788e-10 1.184036e+01 
-9.602937e-01 1.500307e+00 1.500308e+00 -9.977719e-05 -2.610162e-04 0 -3.219498e-04 1.082788e-10 1.184036e+01 
-9.510565e-01 1.674921e+00 1.674914e+00 -9.977562e-05 5.950609e-04 0 1.098464e-03 1.082788e-10 1.184036e+01 
-9.408808e-01 1.843450e+00 1.843455e+00 -9.977620e-05 -3.836579e-04 0 -6.807185e-04 1.082788e-10 1.184036e+01 
-9.297765e-01 2.003486e+00 2.003479e+00 -9.977500e-05 4.964920e-04 0 8.655281e-04 1.082788e-10 1.184036e+01 
-9.177546e-01 2.153880e+00 2.153887e+00 -9.977608e-05 -4.295581e-04 0 -7.481284e-04 1.082788e-10 1.184036e+01 
-9.048271e-01 2.292631e+00 2.292623e+00 -9.977484e-05 4.508826e-04 0 7.561822e-04 1.082788e-10 1.184036e+01 
-8.910065e-01 2.419106e+00 2.419114e+00 -9.977622e-05 -4.299478e-04 0 -7.040359e-04 1.082788e-10 1.184036e+01 
-8.763067e-01 2.531854e+00 2.531845e+00 -9.977478e-05 4.231080e-04 0 6.661056e-04 1.082788e-10 1.184036e+01 
-8.607420e-01 2.630919e+00 2.630928e+00 -9.977642e-05 -4.094442e-04 0 -6.188943e-04 1.082788e-10 1.184036e+01 
-8.443279e-01 2.715579e+00 2.715570e+00 -9.977470e-05 3.955503e-04 0 5.710957e-04 1.082788e-10 1.184036e+01 
-8.270806e-01 2.786688e+00 2.786698e+00 -9.977661e-05 -3.809175e-04 0 -5.235044e-04 1.082788e-10 1.184036e+01 
-8.090170e-01 2.844334e+00 2.844324e+00 -9.977462e-05 3.659247e-04 0 4.781627e-04 1.082788e-10 1.184036e+01 
-7.901550e-01 2.890156e+00 2.890166e+00 -9.977680e-05 -3.514835e-04 0 -4.365334e-04 1.082788e-10 1.184036e+01 
-7.705132e-01 2.924919e+00 2.924909e+00 -9.977455e-05 3.379464e-04 0 4.002150e-04 1.082788e-10 1.184036e+01 
-7.501111e-01 2.950792e+00 2.950803e+00 -9.977698e-05 -3.255150e-04 0 -3.690861e-04 1.082788e-10 1.184036e+01 
-7.289686e-01 2.968847e+00 2.968837e+00 -9.977449e-05 3.142898e-04 0 3.436844e-04 1.082788e-10 1.184036e+01 
-7.071068e-01 2.981326e+00 2.981336e+00 -9.977715e-05 -3.039299e-04 0 -3.226989e-04 1.082788e-10 1.184036e+01 
-6.845471e-01 2.989138e+00 2.989128e+00 -9.977443e-05 2.942408e-04 0 3.058123e-04 1.082788e-10 1.184036e+01 
-6.613119e-01 2.994175e+00 2.994186e+00 -9.977731e-05 -2.847774e-04 0 -2.914136e-04 1.082788e-10 1.184036e+01 
-6.374240e-01 2.996865e+00 2.996855e+00 -9.977437e-05 2.753679e-04 0 2.790954e-04 1.082788e-10 1.184036e+01 
-6.129071e-01 2.998575e+00 2.998585e+00 -9.977746e-05 -2.657345e-04 0 -2.676007e-04 1.082788e-10 1.184036e+01 
-5.877853e-01 2.999230e+00 2.999219e+00 -9.977431e-05 2.558608e-04 0 2.568374e-04 1.082788e-10 1.184036e+01 
-5.620834e-01 2.999772e+00 2.999782e+00 -9.977762e-05 -2.456270e-04 0 -2.460184e-04 1.082788e-10 1.184036e+01 
-5.358268e-01 2.999799e+00 2.999788e+00 -9.977425e-05 2.350886e-04 0 2.353098e-04 1.082788e-10 1.184036e+01 
-5.090414e-01 3.000026e+00 3.000037e+00 -9.977777e-05 -2.241980e-04 0 -2.242399e-04 1.082788e-10 1.184036e+01 
-4.817537e-01 2.999905e+00 2.999894e+00 -9.977418e-05 2.130049e-04 0 2.130640e-04 1.082788e-10 1.184036e+01 
-4.539905e-01 3.000068e+00 3.000079e+00 -9.977791e-05 -2.014758e-04 0 -2.014577e-04 1.082788e-10 1.184036e+01 
-4.257793e-01 2.999920e+00 2.999909e+00 -9.977412e-05 1.896617e-04 0 1.896912e-04 1.082788e-10 1.184036e+01 
-3.971479e-01 3.000073e+00 3.000084e+00 -9.977804e-05 -1.775351e-04 0 -1.775123e-04 1.082788e-10 1.184036e+01 
-3.681246e-01 2.999922e+00 2.999911e+00 -9.977406e-05 1.651239e-04 0 1.651461e-04 1.082788e-10 1.184036e+01 
-3.387379e-01 3.000074e+00 3.000085e+00 -9.977816e-05 -1.524246e-04 0 -1.524049e-04 1.082788e-10 1.184036e+01 
-3.090170e-01 2.999922e+00 2.999911e+00 -9.977400e-05 1.394697e-04 0 1.394876e-04 1.082788e-10 1.184036e+01 
-2.789911e-01 3.000074e+00 3.000086e+00 -9.977826e-05 -1.262629e-04 0 -1.262469e-04 1.082788e-10 1.184036e+01 
-2.486899e-01 2.999922e+00 2.999911e+00 -9.977395e-05 1.128313e-04 0 1.128455e-04 1.082788e-10 1.184036e+01 
-2.181432e-01 3.000075e+00 3.000086e+00 -9.977834e-05 -9.918770e-05 0 -9.917546e-05 1.082788e-10 1.184036e+01 
-1.873813e-01 2.999922e+00 2.999911e+00 -9.977391e-05 8.537413e-05 0 8.538465e-05 1.082788e-10 1.184036e+01 
-1.564345e-01 3.000075e+00 3.000086e+00 -9.977841e-05 -7.139435e-05 0 -7.138567e-05 1.082788e-10 1.184036e+01 
-1.253332e-01 2.999922e+00 2.999911e+00 -9.977388e-05 5.727685e-05 0 5.728382e-05 1.082788e-10 1.184036e+01 
-9.410831e-02 3.000075e+00 3.000086e+00 -9.977845e-05 -4.305322e-05 0 -4.304803e-05 1.082788e-10 1.184036e+01 
-6.279052e-02 2.999922e+00 2.999911e+00 -9.977387e-05 2.874987e-05 0 2.875334e-05 1.082788e-10 1.184036e+01 
-3.141076e-02 3.000075e+00 3.000086e+00 -9.977847e-05 -1.439263e-05 0 -1.439091e-05 1.082788e-10 1.184036e+01 
-1.110223e-16 2.999922e+00 2.999911e+00 -9.977386e-05 6.355970e-09 0 6.355425e-09 1.082788e-10 1.184036e+01 
3.141076e-02 3.000075e+00 3.000086e+00 -9.977847e-05 1.438360e-05 0 1.438188e-05 1.082788e-10 1.184036e+01 
6.279052e-02 2.999922e+00 2.999911e+00 -9.977387e-05 -2.874091e-05 0 -2.874438e-05 1.082788e-10 1.184036e+01 
9.410831e-02 3.000075e+00 3.000086e+00 -9.977845e-05 4.304210e-05 0 4.303691e-05 1.082788e-10 1.184036e+01 
1.253332e-01 2.999922e+00 2.999911e+00 -9.977388e-05 -5.726813e-05 0 -5.727511e-05 1.082788e-10 1.184036e+01 
1.564345e-01 3.000075e+00 3.000086e+00 -9.977841e-05 7.138305e-05 0 7.137436e-05 1.082788e-10 1.184036e+01 
1.873813e-01 2.999922e+00 2.999911e+00 -9.977391e-05 -8.535944e-05 0 -8.536997e-05 1.082788e-10 1.184036e+01 
2.181432e-01 3.000075e+00 3.000086e+00 -9.977834e-05 9.917625e-05 0 9.916400e-05 1.082788e-10 1.184036e+01 
2.486899e-01 2.999922e+00 2.999911e+00 -9.977395e-05 -1.128211e-04 0 -1.128353e-04 1.082788e-10 1.184036e+01 
2.789911e-01 3.000074e+00 3.000086e+00 -9.977826e-05 1.262470e-04 0 1.262311e-04 1.082788e-10 1.184036e+01 
3.090170e-01 2.999922e+00 2.999911e+00 -9.977400e-05 -1.394514e-04 0 -1.394693e-04 1.082788e-10 1.184036e+01 
3.387379e-01 3.000074e+00 3.000085e+00 -9.977816e-05 1.524135e-04 0 1.523938e-04 1.082788e-10 1.184036e+01 
3.681246e-01 2.999922e+00 2.999911e+00 -9.977406e-05 -1.651181e-04 0 -1.651403e-04 1.082788e-10 1.184036e+01 
3.971479e-01 3.000073e+00 3.000084e+00 -9.977804e-05 1.775261e-04 0 1.775034e-04 1.082788e-10 1.184036e+01 
4.257793e-01 2.999920e+00 2.999909e+00 -9.977412e-05 -1.896476e-04 0 -1.896771e-04 1.082788e-10 1.184036e+01 
