TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="3.0491e-05", I=11
-9.340014e-01 2.978038e+00 2.978037e+00 -5.098017e-05 3.907784e-03 0 3.907784e-03 2.328426e-15 1.294629e+01 
-7.844835e-01 2.998079e+00 2.998078e+00 -5.096879e-05 -8.237816e-04 0 -8.237816e-04 2.328426e-15 1.294629e+01 
-5.652353e-01 3.001721e+00 3.001722e+00 -5.097794e-05 2.942759e-04 0 2.942759e-04 2.328426e-15 1.294629e+01 
-2.957581e-01 2.998626e+00 2.998626e+00 -5.096972e-05 -1.069309e-04 0 -1.069309e-04 2.328426e-15 1.294629e+01 
0 3.001267e+00 3.001267e+00 -5.097756e-05 -6.329701e-15 0 -6.329701e-15 2.328426e-15 1.294629e+01 
2.957581e-01 2.998626e+00 2.998626e+00 -5.096972e-05 1.069309e-04 0 1.069309e-04 2.328426e-15 1.294629e+01 
5.652353e-01 3.001721e+00 3.001722e+00 -5.097794e-05 -2.942759e-04 0 -2.942759e-04 2.328426e-15 1.294629e+01 
7.844835e-01 2.998079e+00 2.998078e+00 -5.096879e-05 8.237816e-04 0 8.237816e-04 2.328426e-15 1.294629e+01 
9.340014e-01 2.978038e+00 2.978037e+00 -5.098017e-05 -3.907784e-03 0 -3.907784e-03 2.328426e-15 1.294629e+01 
1 1.040575e+00 1.040448e+00 -5.100172e-05 -7.282229e-04 0 -7.282229e-04 2.328426e-15 1.294629e+01 
ZONE T="0.00018294", I=11
-1 9.131006e-01 9.129809e-01 -5.297634e-05 -3.808474e-04 0 -3.808474e-04 -3.110111e-15 1.292534e+01 
-9.340014e-01 2.971292e+00 2.971291e+00 -5.294856e-05 4.281056e-03 0 4.281056e-03 -3.110111e-15 1.292534e+01 
-7.844835e-01 2.996538e+00 2.996537e+00 -5.293012e-05 -9.019386e-04 0 -9.019386e-04 -3.110111e-15 1.292534e+01 
-5.652353e-01 3.002810e+00 3.002811e+00 -5.294493e-05 3.239626e-04 0 3.239626e-04 -3.110111e-15 1.292534e+01 
-2.957581e-01 2.997793e+00 2.997793e+00 -5.293162e-05 -1.177034e-04 0 -1.177034e-04 -3.110111e-15 1.292534e+01 
0 3.002028e+00 3.002028e+00 -5.294430e-05 1.066264e-14 0 1.066264e-14 -3.110111e-15 1.292534e+01 
2.957581e-01 2.997793e+00 2.997793e+00 -5.293162e-05 1.177034e-04 0 1.177034e-04 -3.110111e-15 1.292534e+01 
5.652353e-01 3.002810e+00 3.002811e+00 -5.294493e-05 -3.239626e-04 0 -3.239626e-04 -3.110111e-15 1.292534e+01 
7.844835e-01 2.996538e+00 2.996537e+00 -5.293012e-05 9.019386e-04 0 9.019386e-04 -3.110111e-15 1.292534e+01 
9.340014e-01 2.971292e+00 2.971291e+00 -5.294856e-05 -4.281056e-03 0 -4.281056e-03 -3.110111e-15 1.292534e+01 
1 9.131006e-01 9.129809e-01 -5.297634e-05 3.808474e-04 0 3.808474e-04 -3.110111e-15 1.292534e+01 
ZONE T="0.00021343", I=11
-1 8.177337e-01 8.176206e-01 -5.458338e-05 -1.211895e-03 0 -1.211895e-03 -1.102854e-14 1.290891e+01 
-9.340014e-01 2.964547e+00 2.964545e+00 -5.454969e-05 4.580892e-03 0 4.580892e-03 -1.102854e-14 1.290891e+01 
-7.844835e-01 2.994608e+00 2.994607e+00 -5.452305e-05 -9.645226e-04 0 -9.645226e-04 -1.102854e-14 1.290891e+01 
-5.652353e-01 3.004127e+00 3.004128e+00 -5.454443e-05 3.486235e-04 0 3.486235e-04 -1.102854e-14 1.290891e+01 
-2.957581e-01 2.996793e+00 2.996792e+00 -5.452520e-05 -1.266091e-04 0 -1.266091e-04 -1.102854e-14 1.290891e+01 
0 3.002941e+00 3.002941e+00 -5.454353e-05 -1.499814e-15 0 -1.499814e-15 -1.102854e-14 1.290891e+01 
2.957581e-01 2.996793e+00 2.996792e+00 -5.452520e-05 1.266091e-04 0 1.266091e-04 -1.102854e-14 1.290891e+01 
5.652353e-01 3.004127e+00 3.004128e+00 -5.454443e-05 -3.486235e-04 0 -3.486235e-04 -1.102854e-14 1.290891e+01 
7.844835e-01 2.994608e+00 2.994607e+00 -5.452305e-05 9.645226e-04 0 9.645226e-04 -1.102854e-14 1.290891e+01 
9.340014e-01 2.964547e+00 2.964545e+00 -5.454969e-05 -4.580892e-03 0 -4.580892e-03 -1.102854e-14 1.290891e+01 
1 8.177337e-01 8.176206e-01 -5.458338e-05 1.211895e-03 0 1.211895e-03 -1.102854e-14 1.290891e+01 
ZONE T="0.00024393", I=11
-1 7.455486e-01 7.454415e-01 -5.581329e-05 -1.820724e-03 0 -1.820724e-03 -1.174432e-14 1.289526e+01 
-9.340014e-01 2.957858e+00 2.957857e+00 -5.577390e-05 4.808405e-03 0 4.808405e-03 -1.174432e-14 1.289526e+01 
-7.844835e-01 2.992341e+00 2.992339e+00 -5.573817e-05 -1.011505e-03 0 -1.011505e-03 -1.174432e-14 1.289526e+01 
-5.652353e-01 3.005641e+00 3.005642e+00 -5.576683e-05 3.681758e-04 0 3.681758e-04 -1.174432e-14 1.289526e+01 
-2.957581e-01 2.995647e+00 2.995646e+00 -5.574102e-05 -1.336190e-04 0 -1.336190e-04 -1.174432e-14 1.289526e+01 
0 3.003984e+00 3.003985e+00 -5.576563e-05 -2.167057e-14 0 -2.167057e-14 -1.174432e-14 1.289526e+01 
2.957581e-01 2.995647e+00 2.995646e+00 -5.574102e-05 1.336190e-04 0 1.336190e-04 -1.174432e-14 1.289526e+01 
5.652353e-01 3.005641e+00 3.005642e+00 -5.576683e-05 -3.681758e-04 0 -3.681758e-04 -1.174432e-14 1.289526e+01 
7.844835e-01 2.992341e+00 2.992339e+00 -5.573817e-05 1.011505e-03 0 1.011505e-03 -1.174432e-14 1.289526e+01 
9.340014e-01 2.957858e+00 2.957857e+00 -5.577390e-05 -4.808405e-03 0 -4.808405e-03 -1.174432e-14 1.289526e+01 
1 7.455486e-01 7.454415e-01 -5.581329e-05 1.820724e-03 0 1.820724e-03 -1.174432e-14 1.289526e+01 
ZONE T="0.00027442", I=11
-1 6.903830e-01 6.902814e-01 -5.669703e-05 -2.255809e-03 0 -2.255809e-03 -8.986870e-15 1.288335e+01 
-9.340014e-01 2.951249e+00 2.951247e+00 -5.665209e-05 4.967425e-03 0 4.967425e-03 -8.986870e-15 1.288335e+01 
-7.844835e-01 2.989787e+00 2.989784e+00 -5.660659e-05 -1.043571e-03 0 -1.043571e-03 -8.986870e-15 1.288335e+01 
-5.652353e-01 3.007319e+00 3.007320e+00 -5.664305e-05 3.827766e-04 0 3.827766e-04 -8.986870e-15 1.288335e+01 
-2.957581e-01 2.994381e+00 2.994379e+00 -5.661017e-05 -1.387952e-04 0 -1.387952e-04 -8.986870e-15 1.288335e+01 
0 3.005138e+00 3.005139e+00 -5.664152e-05 -1.267335e-14 0 -1.267335e-14 -8.986870e-15 1.288335e+01 
2.957581e-01 2.994381e+00 2.994379e+00 -5.661017e-05 1.387952e-04 0 1.387952e-04 -8.986870e-15 1.288335e+01 
5.652353e-01 3.007319e+00 3.007320e+00 -5.664305e-05 -3.827766e-04 0 -3.827766e-04 -8.986870e-15 1.288335e+01 
7.844835e-01 2.989787e+00 2.989784e+00 -5.660659e-05 1.043571e-03 0 1.043571e-03 -8.986870e-15 1.288335e+01 
9.340014e-01 2.951249e+00 2.951247e+00 -5.665209e-05 -4.967425e-03 0 -4.967425e-03 -8.986870e-15 1.288335e+01 
1 6.903830e-01 6.902814e-01 -5.669703e-05 2.255809e-03 0 2.255809e-03 -8.986870e-15 1.288335e+01 
ZONE T="0.00030491", I=11
-1 6.478869e-01 6.477902e-01 -5.727678e-05 -2.557248e-03 0 -2.557248e-03 -6.202985e-15 1.287252e+01 
-9.340014e-01 2.944724e+00 2.944723e+00 -5.722640e-05 5.064644e-03 0 5.064644e-03 -6.202985e-15 1.287252e+01 
-7.844835e-01 2.986994e+00 2.986991e+00 -5.717066e-05 -1.062107e-03 0 -1.062107e-03 -6.202985e-15 1.287252e+01 
-5.652353e-01 3.009134e+00 3.009135e+00 -5.721528e-05 3.928289e-04 0 3.928289e-04 -6.202985e-15 1.287252e+01 
-2.957581e-01 2.993014e+00 2.993012e+00 -5.717499e-05 -1.422913e-04 0 -1.422913e-04 -6.202985e-15 1.287252e+01 
0 3.006382e+00 3.006383e+00 -5.721341e-05 1.167731e-15 0 1.167731e-15 -6.202985e-15 1.287252e+01 
2.957581e-01 2.993014e+00 2.993012e+00 -5.717499e-05 1.422913e-04 0 1.422913e-04 -6.202985e-15 1.287252e+01 
5.652353e-01 3.009134e+00 3.009135e+00 -5.721528e-05 -3.928289e-04 0 -3.928289e-04 -6.202985e-15 1.287252e+01 
7.844835e-01 2.986994e+00 2.986991e+00 -5.717066e-05 1.062107e-03 0 1.062107e-03 -6.202985e-15 1.287252e+01 
9.340014e-01 2.944724e+00 2.944723e+00 -5.722640e-05 -5.064644e-03 0 -5.064644e-03 -6.202985e-15 1.287252e+01 
1 6.478869e-01 6.477902e-01 -5.727678e-05 2.557248e-03 0 2.557248e-03 -6.202985e-15 1.287252e+01 
ZONE T="0.0003354", I=11
-1 6.149297e-01 6.148375e-01 -5.759567e-05 -2.757417e-03 0 -2.757417e-03 -1.102052e-14 1.286241e+01 
-9.340014e-01 2.938282e+00 2.938281e+00 -5.753994e-05 5.108740e-03 0 5.108740e-03 -1.102052e-14 1.286241e+01 
-7.844835e-01 2.984006e+00 2.984003e+00 -5.747365e-05 -1.068986e-03 0 -1.068986e-03 -1.102052e-14 1.286241e+01 
-5.652353e-01 3.011059e+00 3.011061e+00 -5.752667e-05 3.989121e-04 0 3.989121e-04 -1.102052e-14 1.286241e+01 
-2.957581e-01 2.991565e+00 2.991564e+00 -5.747873e-05 -1.443254e-04 0 -1.443254e-04 -1.102052e-14 1.286241e+01 
0 3.007700e+00 3.007702e+00 -5.752445e-05 -4.339083e-15 0 -4.339083e-15 -1.102052e-14 1.286241e+01 
2.957581e-01 2.991565e+00 2.991564e+00 -5.747873e-05 1.443254e-04 0 1.443254e-04 -1.102052e-14 1.286241e+01 
5.652353e-01 3.011059e+00 3.011061e+00 -5.752667e-05 -3.989121e-04 0 -3.989121e-04 -1.102052e-14 1.286241e+01 
7.844835e-01 2.984006e+00 2.984003e+00 -5.747365e-05 1.068986e-03 0 1.068986e-03 -1.102052e-14 1.286241e+01 
9.340014e-01 2.938282e+00 2.938281e+00 -5.753994e-05 -5.108740e-03 0 -5.108740e-03 -1.102052e-14 1.286241e+01 
1 6.149297e-01 6.148375e-01 -5.759567e-05 2.757417e-03 0 2.757417e-03 -1.102052e-14 1.286241e+01 
ZONE T="0.00036589", I=11
-1 5.892217e-01 5.891334e-01 -5.769392e-05 -2.881996e-03 0 -2.881996e-03 -1.587847e-14 1.285275e+01 
-9.340014e-01 2.931915e+00 2.931914e+00 -5.763293e-05 5.109265e-03 0 5.109265e-03 -1.587847e-14 1.285275e+01 
-7.844835e-01 2.980861e+00 2.980857e+00 -5.755593e-05 -1.066297e-03 0 -1.066297e-03 -1.587847e-14 1.285275e+01 
-5.652353e-01 3.013072e+00 3.013074e+00 -5.761745e-05 4.016934e-04 0 4.016934e-04 -1.587847e-14 1.285275e+01 
-2.957581e-01 2.990051e+00 2.990050e+00 -5.756173e-05 -1.451470e-04 0 -1.451470e-04 -1.587847e-14 1.285275e+01 
0 3.009078e+00 3.009079e+00 -5.761487e-05 -5.509708e-15 0 -5.509708e-15 -1.587847e-14 1.285275e+01 
2.957581e-01 2.990051e+00 2.990050e+00 -5.756173e-05 1.451470e-04 0 1.451470e-04 -1.587847e-14 1.285275e+01 
5.652353e-01 3.013072e+00 3.013074e+00 -5.761745e-05 -4.016934e-04 0 -4.016934e-04 -1.587847e-14 1.285275e+01 
7.844835e-01 2.980861e+00 2.980857e+00 -5.755593e-05 1.066297e-03 0 1.066297e-03 -1.587847e-14 1.285275e+01 
9.340014e-01 2.931915e+00 2.931914e+00 -5.763293e-05 -5.109265e-03 0 -5.109265e-03 -1.587847e-14 1.285275e+01 
1 5.892217e-01 5.891334e-01 -5.769392e-05 2.881996e-03 0 2.881996e-03 -1.587847e-14 1.285275e+01 
ZONE T="0.00039638", I=11
