TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="3.6971e-11", I=101
-1 2.992581e+00 2.992579e+00 -1.000000e-04 -9.399148e-12 0 -9.399148e-12 6.396144e-14 1.318335e+01 
-9.992733e-01 3 3 -1.000000e-04 3.845591e-12 0 3.845591e-12 6.396144e-14 1.318335e+01 
-9.975644e-01 3 3 -1.000000e-04 1.036837e-12 0 1.036837e-12 6.396144e-14 1.318335e+01 
-9.948806e-01 3 3 -1.000000e-04 -8.772982e-13 0 -8.772982e-13 6.396144e-14 1.318335e+01 
-9.912247e-01 3 3 -1.000000e-04 1.277478e-12 0 1.277478e-12 6.396144e-14 1.318335e+01 
-9.866002e-01 3 3 -1.000000e-04 -9.952039e-13 0 -9.952039e-13 6.396144e-14 1.318335e+01 
-9.810118e-01 3 3 -1.000000e-04 1.202372e-12 0 1.202372e-12 6.396144e-14 1.318335e+01 
-9.744648e-01 3 3 -1.000000e-04 -1.820211e-13 0 -1.820211e-13 6.396144e-14 1.318335e+01 
-9.669657e-01 3 3 -1.000000e-04 -4.274914e-13 0 -4.274914e-13 6.396144e-14 1.318335e+01 
-9.585217e-01 3 3 -1.000000e-04 9.209300e-14 0 9.209300e-14 6.396144e-14 1.318335e+01 
-9.491412e-01 3 3 -1.000000e-04 2.243206e-13 0 2.243206e-13 6.396144e-14 1.318335e+01 
-9.388333e-01 3 3 -1.000000e-04 4.484746e-13 0 4.484746e-13 6.396144e-14 1.318335e+01 
-9.276081e-01 3 3 -1.000000e-04 -3.137490e-13 0 -3.137490e-13 6.396144e-14 1.318335e+01 
-9.154766e-01 3 3 -1.000000e-04 -5.329071e-14 0 -5.329071e-14 6.396144e-14 1.318335e+01 
-9.024505e-01 3 3 -1.000000e-04 2.416400e-13 0 2.416400e-13 6.396144e-14 1.318335e+01 
-8.885427e-01 3 3 -1.000000e-04 3.219092e-13 0 3.219092e-13 6.396144e-14 1.318335e+01 
-8.737667e-01 3 3 -1.000000e-04 -2.181588e-13 0 -2.181588e-13 6.396144e-14 1.318335e+01 
-8.581369e-01 3 3 -1.000000e-04 1.958433e-13 0 1.958433e-13 6.396144e-14 1.318335e+01 
-8.416687e-01 3 3 -1.000000e-04 -1.523781e-14 0 -1.523781e-14 6.396144e-14 1.318335e+01 
-8.243781e-01 3 3 -1.000000e-04 -3.455569e-14 0 -3.455569e-14 6.396144e-14 1.318335e+01 
-8.062820e-01 3 3 -1.000000e-04 -1.481315e-13 0 -1.481315e-13 6.396144e-14 1.318335e+01 
-7.873980e-01 3 3 -1.000000e-04 -4.354850e-14 0 -4.354850e-14 6.396144e-14 1.318335e+01 
-7.677448e-01 3 3 -1.000000e-04 -1.302292e-13 0 -1.302292e-13 6.396144e-14 1.318335e+01 
-7.473414e-01 3 3 -1.000000e-04 3.330669e-16 0 3.330669e-16 6.396144e-14 1.318335e+01 
-7.262077e-01 3 3 -1.000000e-04 -3.547163e-14 0 -3.547163e-14 6.396144e-14 1.318335e+01 
-7.043646e-01 3 3 -1.000000e-04 1.489642e-13 0 1.489642e-13 6.396144e-14 1.318335e+01 
-6.818331e-01 3 3 -1.000000e-04 5.645484e-14 0 5.645484e-14 6.396144e-14 1.318335e+01 
-6.586355e-01 3 3 -1.000000e-04 4.463097e-14 0 4.463097e-14 6.396144e-14 1.318335e+01 
-6.347943e-01 3 3 -1.000000e-04 6.369905e-14 0 6.369905e-14 6.396144e-14 1.318335e+01 
-6.103329e-01 3 3 -1.000000e-04 6.211698e-14 0 6.211698e-14 6.396144e-14 1.318335e+01 
-5.852752e-01 3 3 -1.000000e-04 -8.326673e-14 0 -8.326673e-14 6.396144e-14 1.318335e+01 
-5.596455e-01 3 3 -1.000000e-04 7.718826e-14 0 7.718826e-14 6.396144e-14 1.318335e+01 
-5.334691e-01 3 3 -1.000000e-04 -4.121703e-14 0 -4.121703e-14 6.396144e-14 1.318335e+01 
-5.067714e-01 3 3 -1.000000e-04 -2.206568e-14 0 -2.206568e-14 6.396144e-14 1.318335e+01 
-4.795785e-01 3 3 -1.000000e-04 -1.840195e-14 0 -1.840195e-14 6.396144e-14 1.318335e+01 
